id;name;Aadress;X;y
12780;Kallavere Keskkool;Harju maakond, Maardu linn, Noorte tn 5;557750;6593865
12484;Kallemäe Kool;Saare maakond, Valjala vald, Kallemäe küla, Koolimaja;434472;6470454
12280;Kalmetu Põhikool;Viljandi maakond, Viljandi vald, Tänassilma küla, Kalmetu kool;607474;6473792
13265;Kambja Lasteaed Mesimumm;Tartu maakond, Kambja vald, Kambja alevik, Kesk tn 4;658500.0331;6458080.055
13266;Kambja Põhikool;Tartu maakond, Kambja vald, Kambja alevik, Kesk tn 12;658698;6458235
13303;Kammeri Kool;Tartu maakond, Kambja vald, Kammeri küla, Kammeri eriinternaatkool;655092;6451299
13497;Kanepi Gümnaasium;Põlva maakond, Kanepi vald, Kanepi alevik, Kooli tn 1;663226;6430625
13496;Kanepi Lasteaed Rõõmutare;Põlva maakond, Kanepi vald, Kanepi alevik, Turu tn 6;663014.9821;6430731.016
11909;Karateklubi Daigo;Harju maakond, Tallinn, Kivimurru 9;544726;6588039
12989;Karjamaa Põhikool;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Kopli tn 92;540122;6590694
12307;Karksi-Nuia Lasteaed;Viljandi maakond, Karksi vald, Karksi-Nuia linn, Männiku tn 1;591626.9847;6441095.042
11932;Karu Lasteaed;Tartu maakond, Tartu linn, Purpuri 10;663531;6472480
12526;Kasari Kool;Lääne maakond, Lihula vald, Kirbla küla, Kooli;499104;6509987
12554;Kasti Lasteaed Karikakar;Rapla maakond, Märjamaa vald, Kasti küla, Lasteaia;530795.3287;6525717.567
13498;Kauksi Põhikool;Põlva maakond, Mooste vald, Kauksi küla, Koolimaja;690309;6443855
13263;Kavastu Algkool-Lasteaed;Tartu maakond, Luunja vald, Kavastu küla, Kooli;678333;6475578
13377;Keeni Põhikool;Valga maakond, Sangaste vald, Keeni küla, Kooli tee 2;634526;6426235
13150;KEHA Spordikool;Harju maakond, Keila linn, Paldiski mnt 17;523447.9442;6575256.058
12784;Kehra Gümnaasium;Harju maakond, Anija vald, Kehra linn, Spordi tn 2;575851;6577843
12826;Kehra linnalasteaed Lastetare;Harju maakond, Anija vald, Kehra linn, Laste tn 8;575964.0174;6577702.041
12579;Kehtna Lasteaed Siller;Rapla maakond, Kehtna vald, Kehtna alevik, Lasteaia tn 5;550257.9367;6532131.012
12585;Kehtna Põhikool;Rapla maakond, Kehtna vald, Kehtna alevik, Staadioni tn 16;550062;6532526
13164;Keila Kool;Harju maakond, Keila linn, Ehitajate tee 1;523422;6575118
13175;Keila Lasteaed Miki;Harju maakond, Keila linn, Jaama tn 10;523662.9339;6574497.056
12764;Keila Lasteaed Sipsik;Harju maakond, Keila linn, Pae tn 2;524283.0774;6574640.052
13174;Keila Lasteaed Vikerkaar;Harju maakond, Keila linn, Põhja tn 12a;524112.9393;6575020.049
12762;Keila Ühisgümnaasium;Harju maakond, Keila linn, Pargi tn 2;523477;6574820
13163;Keila-Joa Sanatoorne Internaatkool;Harju maakond, Harku vald, Türisalu küla, Keila-Joa Sanatoorne Internaatkool;517080;6585641
12429;Kergu Lasteaed-Algkool;Pärnu maakond, Vändra vald, Kergu küla, Kergu Põhikool;544168;6504773
12822;Kernu Põhikool;Harju maakond, Kernu vald, Kernu küla, Kernu kool;528459;6555142
12471;Kesklinna Eralasteaed Naerusuu;Saare maakond, Kuressaare linn, Tallinna tn 12;411266.0252;6457918.027
12251;Kesklinna Lasteaed Türil;Järva maakond, Türi vald, Türi linn, Vabaduse tn 2a;582240.922;6519582.996
12473;KG Huvikool INSPIRA;Saare maakond, Kuressaare linn, Nooruse tn 1;411852.0748;6457378.98
12461;Kihelkonna Kool;Saare maakond, Kihelkonna vald, Kihelkonna alevik, Kooli tn 1;384655;6470763
12417;Kihnu Kool;Pärnu maakond, Kihnu vald, Linaküla küla, Kooli;498942;6443560
13419;Kiigemetsa Kool;Jõgeva maakond, Jõgeva vald, Siimusti alevik, Kiigemetsa tn 2;635340;6512057
13180;Kiili Gümnaasium;Harju maakond, Kiili vald, Kooli tn 2;547877;6574212
12932;Kiili Lasteaed;Harju maakond, Kiili vald, Kiili alev;547615.0033;6574187.067
12427;Kilingi-Nõmme Gümnaasium;Pärnu maakond, Saarde vald, Kilingi-Nõmme linn, Sambla tn 18;556089;6445914
